"nba_year","nba_draft_Rk","nba_draft_Player","nba_draft_Pk","nba_draft_Tm","nba_draft_College","nba_draft_Yrs","nba_draft_ttl_G","nba_draft_ttl_MP","nba_draft_ttl_PTS","nba_draft_ttl_TRB","nba_draft_ttl_AST","nba_draft_FG","nba_draft__3P","nba_draft_FT","nba_draft_per_MP","nba_draft_per_PTS","nba_draft_per_TRB","nba_draft_per_AST","nba_draft_WS","nba_draft_WS48","nba_draft_BPM","nba_draft_VORP"
"1948","108","Thorton Jenkins","","WSC","Missouri","","","","","","","","","","","","","","","","",""
"1948","109","Leo Katkaveck","","WSC","NC State","2","107","","457","","136",".317","",".685","","4.3","","1.3","1.9","","",""
"1948","110","C.T. Parker","","WSC","Louisiana Tech","","","","","","","","","","","","","","","","",""
"1948","111","Jack Parkinson","","WSC","Kentucky","1","4","","3","","2",".083","","1.000","","0.8","","0.5","-0.2","","",""
"1948","112","Don Walker","","WSC","Sam Houston State University","","","","","","","","","","","","","","","","",""
"1948","113","Al Williams","","WSC","Arkansas","","","","","","","","","","","","","","","","",""
"1949","1","Vern Mikkelsen","","MNL","Hamline University","10","699","18443","10063","5940","1515",".403","",".766","32.5","14.4","9.4","2.2","83.4",".170","",""
"1949","2","Ed Macauley","","STB","Saint Louis","10","641","18071","11234","4325","2079",".436","",".761","35.7","17.5","7.5","3.2","100.4",".196","",""
"1949","3","Howie Shannon","1","PRO","Kansas State","2","122","","1323","","299",".355","",".795","","10.8","","2.5","6.3","","",""
"1949","4","Alex Groza","2","INO","Kentucky","2","130","","2925","709","318",".474","",".756","","22.5","10.7","2.4","35.9","","",""
"1949","5","Bob Harris","3","FTW","Oklahoma State","5","325","5768","2209","1824","502",".385","",".628","27.9","6.8","6.9","1.5","15.7",".081","",""
"1949","6","Tony Lavelli","4","BOS","Yale","2","86","","591","59","63",".367","",".853","","6.9","2.0","0.7","4.7","","",""
"1949","7","Vern Gardner","5","PHW","Utah","3","151","507","1339","349","245",".344","",".748","18.8","8.9","4.0","1.6","7.4","-.006","",""
"1949","8","Ron Livingstone","6","BLB","Wyoming","2","117","","732","297","217",".286","",".692","","6.3","4.7","1.9","2.4","","",""
"1949","9","Dick McGuire","7","NYK","St. John's","11","738","17170","5921","2784","4205",".389","",".644","28.3","8.0","4.2","5.7","50.9",".115","",""
"1949","10","Wah Wah Jones","8","WSC","Kentucky","3","140","1320","1428","408","429",".355","",".757","22.8","10.2","5.1","3.1","8.8",".028","",""
"1949","11","Jack Kerris","9","CHS","Loyola Chicago","4","271","3572","2057","1286","667",".363","",".662","26.5","7.6","6.3","2.5","17.8",".108","",""
"1949","12","Pep Saul","10","ROC","Seton Hall","6","384","6219","2152","683","596",".360","",".739","23.0","5.6","2.0","1.6","9.8",".060","",""
"1949","13","George Kaftan","","BOS","Holy Cross","5","212","1335","1594","424","399",".370","",".650","17.8","7.5","3.1","1.9","8.9",".057","",""
"1949","14","Ralph Beard","","CHS","Kentucky","2","126","","2006","251","551",".366","",".770","","15.9","3.8","4.4","11.2","","",""
"1949","15","John Oldham","","FTW","Western Kentucky","2","127","","926","242","226",".319","",".627","","7.3","3.6","1.8","4.2","","",""
"1949","16","Leo Barnhorst","","INO","Notre Dame","5","344","7279","3232","1506","1116",".368","",".665","34.8","9.4","5.4","3.2","14.2",".061","",""
"1949","17","Harry Donovan","","NYK","Muhlenberg College","1","45","","253","","38",".327","",".689","","5.6","","0.8","1.0","","",""
